Core Section,Original Winter Layer #,Year,Interpolated Year (BP),AD,,Couplet Thickness (mm),Sub Core Depth (mm),Sub Core Depth (cm),Cumulative Depth (mm),Sus Sed Yield (MG km-1 a-1),Notes,Disturbed Years
224C,105,1003,1448.290035,568.7099647,569,1.12,251.879,25.1879,2154.09,4.252954791,,
224C,107,1004,1449.290035,567.7099647,568,0.942,252.821,25.2821,2155.032,3.577038762,,
224C,109,1005,1450.290035,566.7099647,567,1.498,254.319,25.4319,2156.53,5.688327033,,
224C,111,1006,1451.290035,565.7099647,566,0.918,255.237,25.5237,2157.448,3.485904016,,
224C,113,1007,1452.290035,564.7099647,565,1.297,256.534,25.6534,2158.745,4.92507354,,
224C,115,1008,1453.290035,563.7099647,564,2.057,258.591,25.8591,2160.802,7.811007148,,
224C,117,1009,1454.290035,562.7099647,563,1.344,259.935,25.9935,2162.146,5.103545749,,
224C,119,1010,1455.290035,561.7099647,562,1.249,261.184,26.1184,2163.395,4.742804048,,
224C,121,1011,1456.290035,560.7099647,561,1.576,262.76,26.276,2164.971,5.984514956,,
224C,123,1012,1457.290035,559.7099647,560,2.41,265.17,26.517,2167.381,9.151447363,,
224C,125,1013,1458.290035,558.7099647,559,1.236,266.406,26.6406,2168.617,4.693439395,,
224C,127,1014,1459.290035,557.7099647,558,1.079,267.485,26.7485,2169.696,4.097266268,,
224C,129,1015,1460.290035,556.7099647,557,2.675,270.16,27.016,2172.371,10.15772685,,
224C,131,1016,1461.290035,555.7099647,556,1.372,271.532,27.1532,2173.743,5.209869619,,
224C,133,1017,1462.290035,554.7099647,555,1.12,272.652,27.2652,2174.863,4.252954791,,
224C,135,1018,1463.290035,553.7099647,554,0.871,273.523,27.3523,2175.734,3.307431806,,
224C,137,1019,1464.290035,552.7099647,553,0.888,274.411,27.4411,2176.622,3.371985584,,
224C,139,1020,1465.290035,551.7099647,552,1.197,275.608,27.5608,2177.819,4.545345433,,
224C,141,1021,1466.290035,550.7099647,551,1.753,277.361,27.7361,2179.572,6.656633705,,
224C,143,1022,1467.290035,549.7099647,550,1.755,279.116,27.9116,2181.327,6.664228267,,
224C,145,1023,1468.290035,548.7099647,549,2.501,281.617,28.1617,2183.828,9.49699994,,
224C,147,1024,1469.290035,547.7099647,548,0.951,282.568,28.2568,2184.779,3.611214291,,
224C,149,1025,1470.290035,546.7099647,547,1.411,283.979,28.3979,2186.19,5.357963581,,
224C,151,1026,1471.290035,545.7099647,546,1.569,285.548,28.5548,2187.759,5.957933989,,
224C,153,1027,1472.290035,544.7099647,545,1.116,286.664,28.6664,2188.875,4.237765667,,
224C,155,1028,1473.290035,543.7099647,544,1.251,287.915,28.7915,2190.126,4.750398611,,
224C,157,1029,1474.290035,542.7099647,543,1.702,289.617,28.9617,2191.828,6.46297237,,
224C,159,1030,1475.290035,541.7099647,542,0.934,290.551,29.0551,2192.762,3.546660513,,
224C,161,1031,1476.290035,540.7099647,541,0.659,291.21,29.121,2193.421,2.502408221,,
224C,163,1032,1477.290035,539.7099647,540,0.591,291.801,29.1801,2194.012,2.244193109,,
224C,165,1033,1478.290035,538.7099647,539,1.361,293.162,29.3162,2195.373,5.168099528,,
224C,167,1034,1479.290035,537.7099647,538,1.206,294.368,29.4368,2196.579,4.579520963,,
224C,169,1035,1480.290035,536.7099647,537,0.958,295.326,29.5326,2197.537,3.637795259,,
224C,171,1036,1481.290035,535.7099647,536,1.1,296.426,29.6426,2198.637,4.17700917,,
224C,173,1037,1482.290035,534.7099647,535,1.938,298.364,29.8364,2200.575,7.359130701,,
224C,175,1038,1483.290035,533.7099647,534,2.284,300.648,30.0648,2202.859,8.672989949,,
224C,177,1039,1484.290035,532.7099647,533,1.24,301.888,30.1888,2204.099,4.708628519,,
224C,179,1040,1485.290035,531.7099647,532,1.261,303.149,30.3149,2205.36,4.788371421,,
224C,181,1041,1486.290035,530.7099647,531,1.173,304.322,30.4322,2206.533,4.454210688,,
224C,183,1042,1487.290035,529.7099647,530,0.754,305.076,30.5076,2207.287,2.863149922,,
224C,185,1043,1488.290035,528.7099647,529,1.507,306.583,30.6583,2208.794,5.722502563,,
224C,187,1044,1489.290035,527.7099647,528,0.862,307.445,30.7445,2209.656,3.273256277,,
224C,189,1045,1490.290035,526.7099647,527,0.854,308.299,30.8299,2210.51,3.242878028,,
224C,191,1046,1491.290035,525.7099647,526,2.021,310.32,31.032,2212.531,7.67430503,,
224C,193,1047,1492.290035,524.7099647,525,1.831,312.151,31.2151,2214.362,6.952821627,,
224C,195,1048,1493.290035,523.7099647,524,1.615,313.766,31.3766,2215.977,6.132608918,,
224C,197,1049,1494.290035,522.7099647,523,0.977,314.743,31.4743,2216.954,3.709943599,,
224C,199,1050,1495.290035,521.7099647,522,1.874,316.617,31.6617,2218.828,7.116104713,,
224C,201,1051,1496.290035,520.7099647,521,1.422,318.039,31.8039,2220.25,5.399733672,,
224C,203,1052,1497.290035,519.7099647,520,1.757,319.796,31.9796,2222.007,6.671822829,,
224C,205,1053,1498.290035,518.7099647,519,1.276,321.072,32.1072,2223.283,4.845330637,,
224C,207,1054,1499.290035,517.7099647,518,1.942,323.014,32.3014,2225.225,7.374319826,,
224C,209,1055,1500.290035,516.7099647,517,1.404,324.418,32.4418,2226.629,5.331382613,,
224C,211,1056,1501.290035,515.7099647,516,1.301,325.719,32.5719,2227.93,4.940262664,,
224C,213,1057,1502.290035,514.7099647,515,1.458,327.177,32.7177,2229.388,5.536435791,,
224C,215,1058,1503.290035,513.7099647,514,1.485,328.662,32.8662,2230.873,5.638962379,,
224C,217,1059,1504.290035,512.7099647,513,1.72,330.382,33.0382,2232.593,6.531323429,,
224C,219,1060,1505.290035,511.7099647,512,1.423,331.805,33.1805,2234.016,5.403530954,,
224C,221,1061,1506.290035,510.7099647,511,1.617,333.422,33.3422,2235.633,6.14020348,,
224C,223,1062,1507.290035,509.7099647,510,0.85,334.272,33.4272,2236.483,3.227688904,,
224C,225,1063,1508.290035,508.7099647,509,1.496,335.768,33.5768,2237.979,5.680732471,,
224C,227,1064,1509.290035,507.7099647,508,1.417,337.185,33.7185,2239.396,5.380747267,,
224C,229,1065,1510.290035,506.7099647,507,1.32,338.505,33.8505,2240.716,5.012411004,,
224C,231,1066,1511.290035,505.7099647,506,1.361,339.866,33.9866,2242.077,5.168099528,,
224C,233,1067,1512.290035,504.7099647,505,1.298,341.164,34.1164,2243.375,4.928870821,,
224C,235,1068,1513.290035,503.7099647,504,2.142,343.306,34.3306,2245.517,8.133776038,,
224C,237,1069,1514.290035,502.7099647,503,0.758,344.064,34.4064,2246.275,2.878339046,,
224C,239,1070,1515.290035,501.7099647,502,1.492,345.556,34.5556,2247.767,5.665543347,,
224C,241,1071,1516.290035,500.7099647,501,1.555,347.111,34.7111,2249.322,5.904772054,,
224C,243,1072,1517.290035,499.7099647,500,1.746,348.857,34.8857,2251.068,6.630052737,,
224C,245,1073,1518.290035,498.7099647,499,1.299,350.156,35.0156,2252.367,4.932668102,,
224C,247,1074,1519.290035,497.7099647,498,2.502,352.658,35.2658,2254.869,9.500797221,,
224C,249,1075,1520.290035,496.7099647,497,1.88,354.538,35.4538,2256.749,7.1388884,,
224C,251,1076,1521.290035,495.7099647,496,0.7,355.238,35.5238,2257.449,2.658096745,,
224C,253,1077,1522.290035,494.7099647,495,0.59,355.828,35.5828,2258.039,2.240395828,,
224C,255,1078,1523.290035,493.7099647,494,0.641,356.469,35.6469,2258.68,2.434057162,,
224C,257,1079,1524.290035,492.7099647,493,47.028,403.497,40.3497,2305.708,178.5785339,Flood,
224C,259,1080,1525.290035,491.7099647,492,3.245,406.742,40.6742,2308.953,12.32217705,,
224C,261,1081,1526.290035,490.7099647,491,1.18,407.922,40.7922,2310.133,4.480791655,,
224C,263,1082,1527.290035,489.7099647,490,4.698,412.62,41.262,2314.831,17.83962644,Flood,
224C,265,1083,1528.290035,488.7099647,489,1.314,413.934,41.3934,2316.145,4.989627318,,
224C,267,1084,1529.290035,487.7099647,488,2.194,416.128,41.6128,2318.339,8.331234654,,
224C,269,1085,1530.290035,486.7099647,487,2.381,418.509,41.8509,2320.72,9.041326212,,
224C,271,1086,1531.290035,485.7099647,486,2.278,420.787,42.0787,2322.998,8.650206263,,
224C,273,1087,1532.290035,484.7099647,485,2.017,422.804,42.2804,2325.015,7.659115905,,
224C,275,1088,1533.290035,483.7099647,484,2.579,425.383,42.5383,2327.594,9.793187863,,
224C,277,1089,1534.290035,482.7099647,483,2.235,427.618,42.7618,2329.829,8.486923177,,
224C,279,1090,1535.290035,481.7099647,482,2.055,429.673,42.9673,2331.884,7.803412586,,
224C,281,1091,1536.290035,480.7099647,481,1.861,431.534,43.1534,2333.745,7.066740059,,
224C,283,1092,1537.290035,479.7099647,480,2.259,433.793,43.3793,2336.004,8.578057923,,
224C,285,1093,1538.290035,478.7099647,479,2.914,436.707,43.6707,2338.918,11.06527702,,
224C,287,1094,1539.290035,477.7099647,478,1.935,438.642,43.8642,2340.853,7.347738858,,
224C,289,1095,1540.290035,476.7099647,477,0.84,439.482,43.9482,2341.693,3.189716093,,
224C,291,1096,1541.290035,475.7099647,476,0.551,440.033,44.0033,2342.244,2.092301866,,
224C,293,1097,1542.290035,474.7099647,475,1.041,441.074,44.1074,2343.285,3.952969587,,
224C,295,1098,1543.290035,473.7099647,474,1.821,442.895,44.2895,2345.106,6.914848817,,
224C,297,1099,1544.290035,472.7099647,473,1.336,444.231,44.4231,2346.442,5.073167501,,
224C,299,1100,1545.290035,471.7099647,472,1.325,445.556,44.5556,2347.767,5.031397409,,
224C,301,1101,1546.290035,470.7099647,471,1.115,446.671,44.6671,2348.882,4.233968386,,
224C,303,1102,1547.290035,469.7099647,470,1.076,447.747,44.7747,2349.958,4.085874424,,
224C,305,1103,1548.290035,468.7099647,469,1.304,449.051,44.9051,2351.262,4.951654507,,
224C,307,1104,1549.290035,467.7099647,468,1.505,450.556,45.0556,2352.767,5.714908001,,
224C,309,1105,1550.290035,466.7099647,467,1.816,452.372,45.2372,2354.583,6.895862412,,
224C,311,1106,1551.290035,465.7099647,466,1.645,454.017,45.4017,2356.228,6.24652735,,
224C,313,1107,1552.290035,464.7099647,465,2.278,456.295,45.6295,2358.506,8.650206263,,
224C,315,1108,1553.290035,463.7099647,464,2.143,458.438,45.8438,2360.649,8.137573319,,
224C,317,1109,1554.290035,462.7099647,463,1.008,459.446,45.9446,2361.657,3.827659312,,
224C,319,1110,1555.290035,461.7099647,462,1.447,460.893,46.0893,2363.104,5.494665699,,
224C,321,1111,1556.290035,460.7099647,461,2.941,463.834,46.3834,2366.045,11.16780361,,
224C,323,1112,1557.290035,459.7099647,460,2.194,466.028,46.6028,2368.239,8.331234654,,
224C,325,1113,1562.278217,454.7217834,455,7.577,473.605,47.3605,2375.816,,Disturbed,4.988181237
224C,327,1114,1563.278217,453.7217834,454,1.973,475.578,47.5578,2377.789,7.492035539,,
224C,329,1115,1564.278217,452.7217834,453,2.123,477.701,47.7701,2379.912,8.061627698,,
224C,331,1116,1565.278217,451.7217834,452,2.147,479.848,47.9848,2382.059,8.152762444,,
224C,333,1117,1566.278217,450.7217834,451,1.535,481.383,48.1383,2383.594,5.828826433,,
224C,335,1118,1567.278217,449.7217834,450,2.133,483.516,48.3516,2385.727,8.099600509,,
224C,337,1119,1568.278217,448.7217834,449,1.237,484.753,48.4753,2386.964,4.697236676,,
224C,339,1120,1569.278217,447.7217834,448,2.695,487.448,48.7448,2389.659,10.23367247,,
224C,341,1121,1570.278217,446.7217834,447,1.829,489.277,48.9277,2391.488,6.945227065,,
224C,343,1122,1571.278217,445.7217834,446,1.705,490.982,49.0982,2393.193,6.474364213,,
224C,345,1123,1572.278217,444.7217834,445,1.897,492.879,49.2879,2395.09,7.203442178,,
224C,347,1124,1573.278217,443.7217834,444,0.796,493.675,49.3675,2395.886,3.022635727,,
224C,349,1125,1574.278217,442.7217834,443,2.067,495.742,49.5742,2397.953,7.848979958,,
224C,351,1126,1575.278217,441.7217834,442,1.214,496.956,49.6956,2399.167,4.609899211,,
224C,353,1127,1576.278217,440.7217834,441,2.241,499.197,49.9197,2401.408,8.509706864,,
224C,355,1128,1577.278217,439.7217834,440,2.604,501.801,50.1801,2404.012,9.88811989,,
224C,357,1129,1578.278217,438.7217834,439,1.915,503.716,50.3716,2405.927,7.271793237,,
224C,359,1130,1579.278217,437.7217834,438,1.036,504.752,50.4752,2406.963,3.933983182,,
224C,361,1131,1580.278217,436.7217834,437,2.392,507.144,50.7144,2409.355,9.083096304,,
224C,363,1132,1581.278217,435.7217834,436,1.518,508.662,50.8662,2410.873,5.764272655,,
224C,365,1133,1582.278217,434.7217834,435,1.537,510.199,51.0199,2412.41,5.836420995,,
224C,367,1134,1583.278217,433.7217834,434,1.904,512.103,51.2103,2414.314,7.230023145,,
224C,369,1135,1584.278217,432.7217834,433,2.029,514.132,51.4132,2416.343,7.704683278,,
224C,371,1136,1585.278217,431.7217834,432,1.727,515.859,51.5859,2418.07,6.557904397,,
224C,373,1137,1586.278217,430.7217834,431,2.385,518.244,51.8244,2420.455,9.056515337,,
224C,375,1138,1587.278217,429.7217834,430,1.676,519.92,51.992,2422.131,6.364243063,,
224C,377,1139,1588.278217,428.7217834,429,1.558,521.478,52.1478,2423.689,5.916163897,,
224C,379,1140,1589.278217,427.7217834,428,1.403,522.881,52.2881,2425.092,5.327585332,,
224C,381,1141,1590.278217,426.7217834,427,1.379,524.26,52.426,2426.471,5.236450587,,
224C,383,1142,1591.278217,425.7217834,426,1.77,526.03,52.603,2428.241,6.721187483,,
224C,385,1143,1592.278217,424.7217834,425,1.142,527.172,52.7172,2429.383,4.336494975,,
224C,387,1144,1593.278217,423.7217834,424,2.429,529.601,52.9601,2431.812,9.223595704,,
224C,389,1145,1594.278217,422.7217834,423,2.53,532.131,53.2131,2434.342,9.607121091,,
224C,391,1146,1595.278217,421.7217834,422,3.15,535.281,53.5281,2437.492,11.96143535,,
224C,393,1147,1596.278217,420.7217834,421,2.194,537.475,53.7475,2439.686,8.331234654,,
224C,395,1148,1597.278217,419.7217834,420,1.776,539.251,53.9251,2441.462,6.743971169,,
224C,397,1149,1598.278217,418.7217834,419,1.823,541.074,54.1074,2443.285,6.922443379,,
224C,399,1150,1599.278217,417.7217834,418,1.862,542.936,54.2936,2445.147,7.07053734,,
224C,401,1151,1600.278217,416.7217834,417,1.614,544.55,54.455,2446.761,6.128811637,,
224C,403,1152,1601.278217,415.7217834,416,1.308,545.858,54.5858,2448.069,4.966843631,,
224C,405,1153,1602.278217,414.7217834,415,1.702,547.56,54.756,2449.771,6.46297237,,
224C,407,1154,1603.278217,413.7217834,414,1.856,549.416,54.9416,2451.627,7.047753654,,
224C,409,1155,1604.278217,412.7217834,413,1.087,550.503,55.0503,2452.714,4.127644516,,
224C,411,1156,1605.278217,411.7217834,412,1.142,551.645,55.1645,2453.856,4.336494975,,
224C,413,1157,1606.278217,410.7217834,411,1.73,553.375,55.3375,2455.586,6.56929624,,
224C,415,1158,1607.278217,409.7217834,410,1.046,554.421,55.4421,2456.632,3.971955993,,
224C,417,1159,1608.278217,408.7217834,409,1.605,556.026,55.6026,2458.237,6.094636107,,
224C,419,1160,1609.278217,407.7217834,408,0.975,557.001,55.7001,2459.212,3.702349037,,
224C,421,1161,1610.278217,406.7217834,407,1.478,558.479,55.8479,2460.69,5.612381412,,
224C,423,1162,1611.278217,405.7217834,406,1.18,559.659,55.9659,2461.87,4.480791655,,
224C,425,1163,1612.278217,404.7217834,405,1.142,560.801,56.0801,2463.012,4.336494975,,
224C,427,1164,1613.278217,403.7217834,404,2.025,562.826,56.2826,2465.037,7.689494154,,
224C,429,1165,1614.278217,402.7217834,403,1.015,563.841,56.3841,2466.052,3.85424028,,
224C,431,1166,1615.278217,401.7217834,402,1.312,565.153,56.5153,2467.364,4.982032755,,
224C,433,1167,1616.278217,400.7217834,401,1.832,566.985,56.6985,2469.196,6.956618909,,
224C,435,1168,1617.278217,399.7217834,400,1.183,568.168,56.8168,2470.379,4.492183498,,
224C,437,1169,1619.737086,397.2629136,397,3.735,571.903,57.1903,2474.114,,Disturbed Disturbed,2.458869859
224C,439,1170,1620.737086,396.2629136,396,1.326,573.229,57.3229,2475.44,5.03519469,,
224C,441,1171,1621.737086,395.2629136,395,1.57,574.799,57.4799,2477.01,5.96173127,,
224C,443,1172,1622.737086,394.2629136,394,0.904,575.703,57.5703,2477.914,3.432742082,,
224C,445,1173,1623.737086,393.2629136,393,1.171,576.874,57.6874,2479.085,4.446616125,,
224C,447,1174,1624.737086,392.2629136,392,1.269,578.143,57.8143,2480.354,4.81874967,,
224C,449,1175,1625.737086,391.2629136,391,1.332,579.475,57.9475,2481.686,5.057978377,,
224C,451,1176,1626.737086,390.2629136,390,2.048,581.523,58.1523,2483.734,7.776831618,,
224C,453,1177,1627.737086,389.2629136,389,1.459,582.982,58.2982,2485.193,5.540233072,,
224C,455,1178,1628.737086,388.2629136,388,1.378,584.36,58.436,2486.571,5.232653306,,
224C,457,1179,1629.737086,387.2629136,387,1.632,585.992,58.5992,2488.203,6.197162696,,
224C,459,1180,1630.737086,386.2629136,386,0.737,586.729,58.6729,2488.94,2.798596144,,
224C,461,1181,1631.737086,385.2629136,385,1.55,588.279,58.8279,2490.49,5.885785649,,
224C,463,1182,1632.737086,384.2629136,384,1.369,589.648,58.9648,2491.859,5.198477776,,
224C,465,1183,1633.737086,383.2629136,383,2.216,591.864,59.1864,2494.075,8.414774837,,
224C,467,1184,1634.737086,382.2629136,382,1.57,593.434,59.3434,2495.645,5.96173127,,
224C,469,1185,1635.737086,381.2629136,381,1.63,595.064,59.5064,2497.275,6.189568134,,
224C,471,1186,1636.737086,380.2629136,380,0.902,595.966,59.5966,2498.177,3.425147519,,
224C,473,1187,1637.737086,379.2629136,379,1.571,597.537,59.7537,2499.748,5.965528551,,
224C,475,1188,1638.737086,378.2629136,378,1.243,598.78,59.878,2500.991,4.720020362,,
224C,477,1189,1639.737086,377.2629136,377,3.457,602.237,60.2237,2504.448,13.12720064,Flood,
224C,479,1190,1640.737086,376.2629136,376,1.701,603.938,60.3938,2506.149,6.459175089,,
224C,481,1191,1641.737086,375.2629136,375,0.933,604.871,60.4871,2507.082,3.542863232,,
224C,483,1192,1642.737086,374.2629136,374,1.029,605.9,60.59,2508.111,3.907402214,,
224C,485,1193,1643.737086,373.2629136,373,1.246,607.146,60.7146,2509.357,4.731412205,,
224C,487,1194,1644.737086,372.2629136,372,1.28,608.426,60.8426,2510.637,4.860519761,,
224C,489,1195,1645.737086,371.2629136,371,1.133,609.559,60.9559,2511.77,4.302319445,,
224C,491,1196,1646.737086,370.2629136,370,1.239,610.798,61.0798,2513.009,4.704831238,,
224C,493,1197,1647.737086,369.2629136,369,1.027,611.825,61.1825,2514.036,3.899807652,,
224C,495,1198,1648.737086,368.2629136,368,1.982,613.807,61.3807,2516.018,7.526211068,,
224C,497,1199,1649.737086,367.2629136,367,1.629,615.436,61.5436,2517.647,6.185770853,,
224C,499,1200,1650.737086,366.2629136,366,1.74,617.176,61.7176,2519.387,6.607269051,,
224C,501,1201,1651.737086,365.2629136,365,1.198,618.374,61.8374,2520.585,4.549142714,,
224C,503,1202,1652.737086,364.2629136,364,0.963,619.337,61.9337,2521.548,3.656781664,,
224C,505,1203,1653.737086,363.2629136,363,1.478,620.815,62.0815,2523.026,5.612381412,,
224C,507,1204,1654.737086,362.2629136,362,1.772,622.587,62.2587,2524.798,6.728782045,,
224C,509,1205,1655.737086,361.2629136,361,1.758,624.345,62.4345,2526.556,6.67562011,,
224C,511,1206,1656.737086,360.2629136,360,1.666,626.011,62.6011,2528.222,6.326270252,,
224C,513,1207,1657.737086,359.2629136,359,1.291,627.302,62.7302,2529.513,4.902289853,,
224C,515,1208,1658.737086,358.2629136,358,1.187,628.489,62.8489,2530.7,4.507372623,,
224C,517,1209,1659.737086,357.2629136,357,1.177,629.666,62.9666,2531.877,4.469399812,,
224C,519,1210,1660.737086,356.2629136,356,1.043,630.709,63.0709,2532.92,3.960564149,,
224C,521,1211,1661.737086,355.2629136,355,1.641,632.35,63.235,2534.561,6.231338225,,
224C,523,1212,1662.737086,354.2629136,354,1.208,633.558,63.3558,2535.769,4.587115525,,
224C,525,1213,1663.737086,353.2629136,353,1.042,634.6,63.46,2536.811,3.956766868,,
224C,527,1214,1664.737086,352.2629136,352,0.858,635.458,63.5458,2537.669,3.258067153,,
224C,529,1215,1665.737086,351.2629136,351,2.002,637.46,63.746,2539.671,7.602156689,,
224C,531,1216,1666.737086,350.2629136,350,1.219,638.679,63.8679,2540.89,4.628885617,,
224C,533,1217,1667.737086,349.2629136,349,1.14,639.819,63.9819,2542.03,4.328900413,,
224C,535,1218,1668.737086,348.2629136,348,1.388,641.207,64.1207,2543.418,5.270626116,,
224C,537,1219,1669.737086,347.2629136,347,1.384,642.591,64.2591,2544.802,5.255436992,,
224C,539,1220,1670.737086,346.2629136,346,1.778,644.369,64.4369,2546.58,6.751565731,,
224C,541,1221,1671.737086,345.2629136,345,1.351,645.72,64.572,2547.931,5.130126717,,
224C,543,1222,1672.737086,344.2629136,344,0.924,646.644,64.6644,2548.855,3.508687703,,
224C,545,1223,1673.737086,343.2629136,343,1.257,647.901,64.7901,2550.112,4.773182297,,
224C,547,1224,1674.737086,342.2629136,342,2.014,649.915,64.9915,2552.126,7.647724062,,
224C,549,1225,1675.737086,341.2629136,341,2.346,652.261,65.2261,2554.472,8.908421375,,
224C,551,1226,1676.737086,340.2629136,340,1.336,653.597,65.3597,2555.808,5.073167501,,
224C,553,1227,1677.737086,339.2629136,339,2.253,655.85,65.585,2558.061,8.555274236,,
224C,555,1228,1678.737086,338.2629136,338,3.552,659.402,65.9402,2561.613,13.48794234,,
224C,557,1229,1679.737086,337.2629136,337,2.268,661.67,66.167,2563.881,8.612233452,,
224C,559,1230,1680.737086,336.2629136,336,2.089,663.759,66.3759,2565.97,7.932520142,,
224C,561,1231,1681.737086,335.2629136,335,1.966,665.725,66.5725,2567.936,7.465454571,,
224C,563,1232,1682.737086,334.2629136,334,3.73,669.455,66.9455,2571.666,14.16385837,,
224C,565,1233,1683.737086,333.2629136,333,2.694,672.149,67.2149,2574.36,10.22987519,,
224C,567,1234,1684.737086,332.2629136,332,2.219,674.368,67.4368,2576.579,8.42616668,,
224C,569,1235,1685.737086,331.2629136,331,1.606,675.974,67.5974,2578.185,6.098433388,,
224C,571,1236,1686.737086,330.2629136,330,2.09,678.064,67.8064,2580.275,7.936317423,,
224C,573,1237,1687.737086,329.2629136,329,1.522,679.586,67.9586,2581.797,5.779461779,,
224C,575,1238,1688.737086,328.2629136,328,1.317,680.903,68.0903,2583.114,5.001019161,,
224C,577,1239,1689.737086,327.2629136,327,1.055,681.958,68.1958,2584.169,4.006131522,,
224C,579,1240,1690.737086,326.2629136,326,1.412,683.37,68.337,2585.581,5.361760862,,
224C,581,1241,1691.737086,325.2629136,325,2.513,685.883,68.5883,2588.094,9.542567313,,
224C,583,1242,1692.737086,324.2629136,324,1.571,687.454,68.7454,2589.665,5.965528551,,
224C,585,1243,1693.737086,323.2629136,323,1.935,689.389,68.9389,2591.6,7.347738858,,
224C,587,1244,1694.737086,322.2629136,322,3.491,692.88,69.288,2595.091,13.25630819,,
224C,589,1245,1695.737086,321.2629136,321,2.655,695.535,69.5535,2597.746,10.08178122,,
224C,591,1246,1696.737086,320.2629136,320,2.763,698.298,69.8298,2600.509,10.49188758,,
224C,593,1247,1697.737086,319.2629136,319,1.71,700.008,70.0008,2602.219,6.493350619,,
224C,595,1248,1698.737086,318.2629136,318,2.371,702.379,70.2379,2604.59,9.003353402,,
224C,597,1249,1699.737086,317.2629136,317,1.705,704.084,70.4084,2606.295,6.474364213,,
224C,599,1250,1700.737086,316.2629136,316,3.945,708.029,70.8029,2610.24,14.9802738,,
224C,601,1251,1701.737086,315.2629136,315,2.001,710.03,71.003,2612.241,7.598359408,,
224C,603,1252,1702.737086,314.2629136,314,2.056,712.086,71.2086,2614.297,7.807209867,,
224C,605,1253,1703.737086,313.2629136,313,2.387,714.473,71.4473,2616.684,9.064109899,,
224C,607,1254,1704.737086,312.2629136,312,1.381,715.854,71.5854,2618.065,5.244045149,,
224C,609,1255,1705.737086,311.2629136,311,0.759,716.613,71.6613,2618.824,2.882136327,,
224C,611,1256,1706.737086,310.2629136,310,2.654,719.267,71.9267,2621.478,10.07798394,,
224C,613,1257,1707.737086,309.2629136,309,1.922,721.189,72.1189,2623.4,7.298374204,,
224C,615,1258,1708.737086,308.2629136,308,1.871,723.06,72.306,2625.271,7.10471287,,
224C,617,1259,1709.737086,307.2629136,307,1.791,724.851,72.4851,2627.062,6.800930385,,
224C,619,1260,1710.737086,306.2629136,306,2.588,727.439,72.7439,2629.65,9.827363393,,
224C,621,1261,1711.737086,305.2629136,305,3.192,730.631,73.0631,2632.842,12.12092116,,
224C,623,1262,1712.737086,304.2629136,304,1.201,731.832,73.1832,2634.043,4.560534557,,
224C,625,1263,1713.737086,303.2629136,303,1.131,732.963,73.2963,2635.174,4.294724883,,
224C,627,1264,1714.737086,302.2629136,302,1.177,734.14,73.414,2636.351,4.469399812,,
224C,629,1265,1715.737086,301.2629136,301,0.716,734.856,73.4856,2637.067,2.718853242,,
224C,631,1266,1716.737086,300.2629136,300,0.672,735.528,73.5528,2637.739,2.551772875,,
224C,633,1267,1717.737086,299.2629136,299,1.653,737.181,73.7181,2639.392,6.276905598,,
224C,635,1268,1718.737086,298.2629136,298,2.563,739.744,73.9744,2641.955,9.732431366,,
224C,637,1269,1719.737086,297.2629136,297,1.917,741.661,74.1661,2643.872,7.279387799,,
224C,639,1270,1720.737086,296.2629136,296,2.395,744.056,74.4056,2646.267,9.094488147,,
224C,641,1271,1721.737086,295.2629136,295,2.675,746.731,74.6731,2648.942,10.15772685,,
224C,643,1272,1722.737086,294.2629136,294,2.967,749.698,74.9698,2651.909,11.26653292,,
224C,645,1273,1723.737086,293.2629136,293,2.575,752.273,75.2273,2654.484,9.777998739,,
224C,647,1274,1724.737086,292.2629136,292,2.015,754.288,75.4288,2656.499,7.651521343,,
224C,649,1275,1725.737086,291.2629136,291,2.06,756.348,75.6348,2658.559,7.822398991,,
224C,651,1276,1726.737086,290.2629136,290,1.815,758.163,75.8163,2660.374,6.89206513,,
224C,653,1277,1727.737086,289.2629136,289,2.253,760.416,76.0416,2662.627,8.555274236,,
224C,655,1278,1728.737086,288.2629136,288,1.249,761.665,76.1665,2663.876,4.742804048,,
224C,657,1279,1729.737086,287.2629136,287,1.251,762.916,76.2916,2665.127,4.750398611,,
224C,659,1280,1730.737086,286.2629136,286,1.514,764.43,76.443,2666.641,5.74908353,,
224C,661,1281,1731.737086,285.2629136,285,2.154,766.584,76.6584,2668.795,8.179343411,,
224C,663,1282,1732.737086,284.2629136,284,2.137,768.721,76.8721,2670.932,8.114789633,,
224C,665,1283,1733.737086,283.2629136,283,1.358,770.079,77.0079,2672.29,5.156707684,,
224C,667,1284,1734.737086,282.2629136,282,3.083,773.162,77.3162,2675.373,11.70701752,,
224C,669,1285,1735.737086,281.2629136,281,2.325,775.487,77.5487,2677.698,8.828678473,,
224C,671,1286,1736.737086,280.2629136,280,2.395,777.882,77.7882,2680.093,9.094488147,,
224C,673,1287,1737.737086,279.2629136,279,1.319,779.201,77.9201,2681.412,5.008613723,,
224C,675,1288,1738.737086,278.2629136,278,1.875,781.076,78.1076,2683.287,7.119901994,,
224C,677,1289,1739.737086,277.2629136,277,2.134,783.21,78.321,2685.421,8.10339779,,
224C,679,1290,1740.737086,276.2629136,276,2.046,785.256,78.5256,2687.467,7.769237056,,
224C,681,1291,1741.737086,275.2629136,275,1.798,787.054,78.7054,2689.265,6.827511352,,
